 ,Label,Area,Mean,StdDev,Mode,Min,Max,BX,BY,Width,Height
1,221031_37_KDs_quanti.lif copy - 37_PGM_63x-1-456:c:2/3 - 37_PGM_63x-1-456,8.103,455.848,87.736,464,208,701,5.446,9.559,3.360,3.071
2,221031_37_KDs_quanti.lif copy - 37_PGM-63x-3:c:2/3 - 37_PGM-63x-3,8.103,662.027,80.849,663,388,952,14.426,6.025,3.360,3.071
3,221031_37_KDs_quanti.lif copy - 37_PGM-63x-5:c:2/3 - 37_PGM-63x-5,8.103,777.859,85.173,791,507,1146,3.998,18.134,3.360,3.071
4,221031_37_KDs_quanti.lif copy - 37_PGM-63x-7:c:2/3 - 37_PGM-63x-7,8.103,704.033,80.234,720,454,1014,18.597,5.098,3.360,3.071
5,221031_37_KDs_quanti.lif copy - 37_PGM-63x-9:c:2/3 - 37_PGM-63x-9,8.103,572.288,75.577,554,307,857,13.673,5.214,3.360,3.071
6,221031_37_KDs_quanti.lif copy - 37_PGM-63x-11:c:2/3 - 37_PGM-63x-11,8.103,695.907,80.477,696,407,1033,8.285,10.602,3.360,3.071
7,221031_37_KDs_quanti.lif copy - 37_ND7-63x-2:c:2/3 - 37_ND7-63x-2,8.103,489.255,65.255,483,288,806,8.343,11.471,3.360,3.071
8,221031_37_KDs_quanti.lif copy - 37_ND7-63x-4:c:2/3 - 37_ND7-63x-4,8.103,445.592,71.921,440,199,668,6.605,6.605,3.360,3.071
9,221031_37_KDs_quanti.lif copy - 37_ND7-63x-6:c:2/3 - 37_ND7-63x-6,8.103,547.727,81.130,540,317,967,10.428,17.381,3.360,3.071
10,221031_37_KDs_quanti.lif copy - 37_ND7-63x-8:c:2/3 - 37_ND7-63x-8,8.103,380.169,69.253,393,175,701,7.358,13.904,3.360,3.071
11,221031_37_KDs_quanti.lif copy - 37_ND7-63x-10:c:2/3 - 37_ND7-63x-10,8.103,411.931,62.175,393,231,677,10.718,14.831,3.360,3.071
12,221031_37_KDs_quanti.lif copy - 37_AS17-63-2:c:2/3 - 37_AS17-63-2,8.103,293.066,45.370,298,170,454,6.199,11.993,3.360,3.071
13,221031_37_KDs_quanti.lif copy - 37_As17-63-4:c:2/3 - 37_As17-63-4,8.103,235.713,41.264,241,118,383,19.003,4.693,3.360,3.071
14,221031_37_KDs_quanti.lif copy - 37_As17-63-6:c:2/3 - 37_As17-63-6,8.103,133.181,29.906,137,51,246,3.013,8.806,3.360,3.071
15,221031_37_KDs_quanti.lif copy - 37_AS17-63-8:c:2/3 - 37_AS17-63-8,8.103,421.414,66.266,393,161,644,5.678,11.471,3.360,3.071
16,221031_37_KDs_quanti.lif copy - 37_AS17-63-10:c:2/3 - 37_AS17-63-10,8.103,251.389,46.428,265,118,407,4.867,9.038,3.360,3.071
17,221031_37_KDs_quanti.lif copy - 37_PS17-63-2:c:2/3 - 37_PS17-63-2,8.103,7.827,6.195,4,0,37,6.083,10.428,3.360,3.071
18,221031_37_KDs_quanti.lif copy - 37_PS17-63-4:c:2/3 - 37_PS17-63-4,8.103,7.881,6.298,4,0,32,15.585,7.068,3.360,3.071
19,221031_37_KDs_quanti.lif copy - 37_PS17-63-6:c:2/3 - 37_PS17-63-6,8.103,10.033,7.258,9,0,42,11.124,15.527,3.360,3.071
20,221031_37_KDs_quanti.lif copy - 37_PS17-63-8:c:2/3 - 37_PS17-63-8,8.103,36.683,15.165,42,0,113,11.124,10.486,3.360,3.071
21,221031_37_KDs_quanti.lif copy - 37_PS17-63-10:c:2/3 - 37_PS17-63-10,8.103,9.860,7.091,4,0,42,15.121,15.411,3.360,3.071
22,221031_37_KDs_quanti.lif copy - wt-63-2:c:2/3 - wt-63-2,8.103,3.571,4.174,0,0,27,6.605,8.401,3.360,3.071
23,221031_37_KDs_quanti.lif copy - wt-63-4:c:2/3 - wt-63-4,8.103,4.048,4.338,0,0,23,7.995,9.385,3.360,3.071
24,221031_37_KDs_quanti.lif copy - wt-63-5.2:c:2/3 - wt-63-5.2,8.103,3.007,3.664,0,0,18,12.572,6.489,3.360,3.071
25,221031_37_KDs_quanti.lif copy - wt-63-7:c:2/3 - wt-63-7,8.103,4.111,4.362,0,0,28,12.282,16.048,3.360,3.071
26,221031_37_KDs_quanti.lif copy - wt-63-9:c:2/3 - wt-63-9,8.103,4.063,4.313,4,0,28,5.040,12.920,3.360,3.071
27,221031_37_KDs_quanti.lif copy - 37_PGM_63x-2:c:2/3 - 37_PGM_63x-2,8.103,562.213,93.584,568,265,909,13.035,8.516,3.360,3.071
28,221031_37_KDs_quanti.lif copy - 37_PGM-63x-6:c:2/3 - 37_PGM-63x-6,8.103,820.213,96.188,796,440,1113,12.050,18.597,3.360,3.071
29,221031_37_KDs_quanti.lif copy - 37_PGM-63x-10:c:2/3 - 37_PGM-63x-10,8.103,786.500,84.029,753,563,1194,16.743,8.864,3.360,3.071
30,221031_37_KDs_quanti.lif copy - 37_ND7-63x-3:c:2/3 - 37_ND7-63x-3,8.103,754.213,81.272,715,473,1099,9.096,7.589,3.360,3.071
31,221031_37_KDs_quanti.lif copy - 37_ND7-63x-7:c:2/3 - 37_ND7-63x-7,8.103,540.126,75.302,521,298,909,11.471,7.126,3.360,3.071
32,221031_37_KDs_quanti.lif copy - 37_As17-63-1:c:2/3 - 37_As17-63-1,8.103,154.334,32.646,156,51,288,6.257,15.005,3.360,3.071
33,221031_37_KDs_quanti.lif copy - 37_As17-63-5:c:2/3 - 37_As17-63-5,8.103,612.718,82.787,587,350,853,15.063,8.574,3.360,3.071
34,221031_37_KDs_quanti.lif copy - 37_As17-63-9:c:2/3 - 37_As17-63-9,8.103,248.449,42.571,222,113,478,8.459,9.617,3.360,3.071
35,221031_37_KDs_quanti.lif copy - 37_PS17-63-3:c:2/3 - 37_PS17-63-3,8.103,17.161,9.667,18,0,66,13.209,17.381,3.360,3.071
36,221031_37_KDs_quanti.lif copy - 37_PS17-63-7:c:2/3 - 37_PS17-63-7,8.103,122.528,27.541,113,27,236,11.529,19.061,3.360,3.071
