,comparison,Gene,logFC,-log10(p),hit_annotation
224,PS17_E - WT_E,GSPATT00009444001,4.61499861815599,7.69245140748801,enriched hit
228,PS17_E - WT_E,PTIWI09,2.29297149251989,7.665363644171989,enriched hit
622,PS17_E - WT_E,GSPATT00025378001,0.839098324224626,0.9691060319986796,enriched candidate
651,PS17_E - WT_E,GSPATT00001397001,0.196208279920269,0.16405284718352142,no hit
1029,PS17_L - WT_L,GSPATT00009444001,3.26361947805258,5.995422027276701,hit
1137,PS17_L - WT_L,PTIWI09,1.24502818873471,4.772096563517832,hit
1195,PS17_L - WT_L,GSPATT00025378001,2.3739594471373,3.49196740305593,hit
1204,PS17_L - WT_L,GSPATT00001397001,2.19871825280512,3.2935809252517494,hit
1306,PS17_L - PS17_E,PTIWI09,-1.34517824330513,5.112117344020563,enriched hit
1347,PS17_L - PS17_E,GSPATT00001397001,1.58666944548221,2.2625931090385842,candidate
1349,PS17_L - PS17_E,GSPATT00025378001,1.6002723362504,2.225870059107942,enriched candidate
1541,PS17_L - PS17_E,GSPATT00009444001,-0.465823942882675,0.6373862276897262,enriched no hit
2043,WT_L - WT_E,GSPATT00009444001,0.885555197220732,1.4814343518843254,no hit
2162,WT_L - WT_E,PTIWI09,-0.297234939519958,0.8784429932156558,no hit
2331,WT_L - WT_E,GSPATT00001397001,-0.41584052740264,0.4022329065875604,no hit
2561,WT_L - WT_E,GSPATT00025378001,0.0654112133377254,0.04838212161378285,no hit
3278,(PS17_L - PS17_E) - (WT_L - WT_E),PTIWI09,-1.04794330378518,2.798317474238701,enriched candidate
3308,(PS17_L - PS17_E) - (WT_L - WT_E),GSPATT00001397001,2.00250997288485,1.9666145576429155,candidate
3335,(PS17_L - PS17_E) - (WT_L - WT_E),GSPATT00009444001,-1.35137914010341,1.6343630522458943,enriched candidate
3360,(PS17_L - PS17_E) - (WT_L - WT_E),GSPATT00025378001,1.53486112291268,1.3596669495374984,enriched no hit
2626,(PS17_L - WT_L) - (PS17_E - WT_E),PTIWI09,-1.04794330378518,2.798317474238701,enriched candidate
2656,(PS17_L - WT_L) - (PS17_E - WT_E),GSPATT00001397001,2.00250997288485,1.9666145576429155,candidate
2683,(PS17_L - WT_L) - (PS17_E - WT_E),GSPATT00009444001,-1.35137914010341,1.6343630522458943,enriched candidate
2708,(PS17_L - WT_L) - (PS17_E - WT_E),GSPATT00025378001,1.53486112291268,1.3596669495374984,enriched no hit
