,sample,min,max,mean,median
0,ref_length,20.0,5314.0,79.1292735042735,50.0
1,ND7_a,5.0,9920.0,440.94394241078265,86.0
2,ND7_b,5.0,9144.0,186.96856978085353,74.0
3,AS17_a,5.0,9764.0,344.2351159268321,81.0
4,AS17_b,5.0,9813.0,354.01200493660946,80.0
5,AS17_c,5.0,9897.0,263.0430542340628,77.0
6,AS17_e,12.0,9858.0,330.62816940651993,81.0
7,AS17_f,8.0,9967.0,411.1326284335134,86.0
8,PS17_b,6.0,8448.0,169.05621805792163,63.0
9,PS17_c,6.0,9983.0,313.03392665153507,79.0
10,PS17_d,11.0,9812.0,307.61543248288734,77.0
11,PGM,5.0,8042.0,215.74954627949182,67.0
12,ISWI1,5.0,9892.0,206.19244327176781,73.0
