,PTET,Name,resPNveg,resPN20,resPN80,resPN100,resANveg,resAN20,resAN80,resAN100,resAPveg,resAP20,resAP80,resAP100
0,PTET.51.1.T0440186,ICOP1,-0.0593772951049313,-3.7808550805426,-0.290965423766172,1.43245818225296,0.354556245894197,-3.04566853656893,-0.0099437477786932,1.18044439478473,0.413933092654842,0.735186334950727,0.281021997538465,-0.252013248773349
1,PTET.51.1.T1510135,KU80b,0.122379916523973,0.223889903959978,0.0614734975518931,0.0106182943958692,0.310512232717608,0.0324711983767626,0.0947297282486933,-0.147896191210272,0.188132362582162,-0.191418701527177,0.0332562312347006,-0.158514483882081
2,PTET.51.1.T0490019,GTSF1,-0.17185034483116,0.0252080998073955,0.310235085185633,0.95694093882889,-0.530947143263443,-0.267832047244109,0.220347893131668,0.566695675190539,-0.359092431473365,-0.293040432126772,-0.0898879476001044,-0.390246253489445
3,PTET.51.1.T0510172,PGML5b,-0.0759471331459851,-4.31160124493425,-0.773590229499247,1.03343147476307,-0.0907156582769721,-3.16465868096512,-0.3014113095664,0.753328915838539,-0.0147687703543604,1.14694200044132,0.472179299814256,-0.280101724586707
4,PTET.51.1.T0270232,MSH4a,-0.234352713162743,0.0093582000928734,0.259504485885107,0.428975877617553,-0.798928431522069,-0.272395421320781,0.197311894743566,-0.0454903123177714,-0.564572996028535,-0.281753766468829,-0.0621930456023287,-0.474466811750591
5,PTET.51.1.T0700039,ICL7a,0.292175341404111,-0.283691785624527,-0.124655488749644,-0.513198244494602,0.399191251030696,0.0155121387378688,-0.295438049822258,-0.404687839976315,0.107016266747287,0.299203884300903,-0.170782551216628,0.108510389980703
6,PTET.51.1.T1740049,EZL1,-0.0442911809794107,-0.008936954117427,0.286430532694851,1.01806868294458,-0.705540514173511,-0.208441856065065,0.286896318623618,0.626371407135569,-0.661244349714745,-0.199505254641127,0.0004649624898227,-0.391698245922938
7,PTET.51.1.T0380073,PGML2,-0.0414433690918342,-4.19405910713504,-0.882888186068521,1.41386325296478,-0.116846536641382,-3.63110669728978,-0.33191580257275,1.34760974494722,-0.0754032816598902,0.562952040026846,0.550972679762268,-0.0662528367891677
8,PTET.51.1.T0240239,PTIWI10,-0.232928294809128,-0.10534524578245,-5.00532399592459,-3.75593753101333,-0.53619318172301,-0.179847264614941,-2.90748986387151,-1.43024529689576,-0.303263050338414,-0.0745019234679164,2.09783334807929,2.3256922364905
9,PTET.51.1.T1140146,KU80c,-0.514604830604908,-4.13166153374656,-0.925567602709864,1.1269495768368,0.379565263435611,-3.08396331866499,-0.278264443600046,1.07251996582074,0.894168946272674,1.04769801045684,0.647303637482781,-0.0544287039557809
10,PTET.51.1.T0480099,PGML4b,-0.39363411237662,-2.31869288238889,0.135599313221701,1.33186318960484,-0.12030006704381,-2.15177869146128,0.350185577769451,1.10447883138976,0.273333534172284,0.166914148141812,0.214586572562312,-0.227383905971685
11,PTET.51.1.T0240213,PS17,-2.94119718412598,-3.13090056785229,-1.97752457040464,-0.700690592429077,-1.44358143710837,-0.879766323744408,-0.749642476391357,-0.0984989524250005,1.49761664563496,2.25113378496463,1.22788204170866,0.602191679764661
12,PTET.51.1.T0710112,PTIWI01,0.0581431423065442,-0.147444534748956,0.196369255930617,1.09046859804691,-0.311138200206548,-0.317803515994976,0.189250339212191,0.859833378925079,-0.369269095289662,-0.170359954227627,-0.0071206648184544,-0.230637027871242
13,PTET.51.1.T0060034,PTIWI06,0.0054841777963989,-2.388669517003,-1.5155506055492,-5.26123184358969,-0.599785672144744,-2.94144509592552,-1.49007466981771,-5.45135989460865,-0.605267824908239,-0.552776387438875,0.0254759445192604,-0.190128171404852
14,PTET.51.1.T0230191,SPO11,-0.30623909440202,-0.690664183236854,0.49498787120438,1.4106265884063,-0.593840958795987,-0.578936477844264,0.536636223257002,1.04472700515776,-0.287600071483969,0.111727286797458,0.0416481915453284,-0.365899669015524
15,PTET.51.1.T0490162,PGM,-0.415701577077799,-0.149764462679908,0.0635187840889784,1.11026389693948,-0.175589504519415,-0.615957030037616,0.128089163805649,1.00630670954986,0.240111667052504,-0.466192253897611,0.0645707030328797,-0.103956736207469
16,PTET.51.1.T0770102,SPT5m,-0.0950425867432896,-0.274061891000591,0.143414592835374,1.10174517741683,-0.65120422888382,-0.07206944869612,0.125641782061948,0.733903564657557,-0.556156461881724,0.201991865562038,-0.0177737553824945,-0.367842532941579
17,PTET.51.1.T0770160,MSH5,-0.0984857037256146,-0.239897569414796,0.0985714458257959,0.409404157651071,-0.493212946841479,-0.449651774071247,0.0346860839128624,0.379452490945225,-0.394723217409062,-0.209754562650136,-0.0638860151867706,-0.0299526468129005
18,PTET.51.1.T0110267,PGML1,-0.736926437674061,-3.48451576156014,0.252088276812328,1.51832278225189,-0.604933207915151,-2.89787289660686,0.280801558122549,1.15386185572671,0.131991580054637,0.586642769979937,0.0287139840230417,-0.364459982570011
