,PTET,Name,resPNveg,resPN20,resPN80,resPN100,resANveg,resAN20,resAN80,resAN100,resAPveg,resAP20,resAP80,resAP100
0,PTET.51.1.T0440186,ICOP1,0.993734244456251,1.8662171749608e-20,0.805679973286744,0.0025151410025951,0.627840116696164,3.39478673982427e-13,0.996911057918822,0.005257615827823,0.582876959124341,0.999988099174334,0.999917231276607,0.999684898165913
1,PTET.51.1.T1510135,KU80b,0.920363496239633,0.807370447192219,0.88330830734133,0.972056840612945,0.0512311806346577,0.999912906309857,0.898013912710073,0.50450611206026,0.351086922208287,0.999988099174334,0.999917231276607,0.999684898165913
2,PTET.51.1.T0490019,GTSF1,0.992578443573933,0.999524786412843,0.916262031449618,0.509561859474484,0.724891986011695,0.999912906309857,0.964420911850225,0.754473753536794,0.82591493613883,0.999988099174334,0.999917231276607,0.999684898165913
3,PTET.51.1.T0510172,PGML5b,0.993734244456251,2.06294631973103e-17,0.486447705618342,0.12528699841699,0.924775773500774,2.17453969826819e-09,0.913643891270004,0.309366011630441,0.989425447939112,0.999988099174334,0.999917231276607,0.999684898165913
4,PTET.51.1.T0270232,MSH4a,0.984368686719768,0.999524786412843,0.91331047792449,0.758158885658396,0.485386678264032,0.999912906309857,0.961892448028213,0.98236694559782,0.649779069303266,0.999988099174334,0.999917231276607,0.999684898165913
5,PTET.51.1.T0700039,ICL7a,0.907286669166894,0.999524786412843,0.887801864881525,0.1930569718718,0.33305287349684,0.999912906309857,0.833329007024515,0.34869693621373,0.834859344112938,0.999988099174334,0.999917231276607,0.999684898165913
6,PTET.51.1.T1740049,EZL1,0.996648142191405,0.999524786412843,0.919534291977427,0.447039442110643,0.618549285061871,0.999912906309857,0.95306988683164,0.708024495387181,0.652941983394238,0.999988099174334,0.999917231276607,0.999684898165913
7,PTET.51.1.T0380073,PGML2,0.996406503413072,1.4596166046422998e-19,0.34661921010555,0.0130294839953936,0.891990062177274,2.71025744093893e-14,0.898609415118505,0.0056009074475953,0.935833060058738,0.999988099174334,0.999917231276607,0.999684898165913
8,PTET.51.1.T0240239,PTIWI10,0.976639448063246,0.999524786412843,6.286858232103931e-19,3.0394349959667e-11,0.571560550861323,0.999912906309857,7.46551467292033e-06,0.0273448650526299,0.769960251861736,0.999988099174334,0.173473732758231,0.0034614536509842
9,PTET.51.1.T1140146,KU80c,0.90941559981992,1.43531657645165e-19,0.28910670443864,0.0567331100547211,0.636874336583833,8.687306943597339e-11,0.913643891270004,0.042996899562437,0.231837754997755,0.999988099174334,0.999917231276607,0.999684898165913
10,PTET.51.1.T0480099,PGML4b,0.920363496239633,2.13231706306247e-08,0.914598068717299,0.0037687047509273,0.866889588345602,5.81986640788155e-07,0.866923475554797,0.0072262507503097,0.708158378817886,0.999988099174334,0.999917231276607,0.999684898165913
