,PTET,Name,resPNveg,resPN20,resPN80,resPN100,resANveg,resAN20,resAN80,resAN100,resAPveg,resAP20,resAP80,resAP100
0,PTET.51.1.T0440186,ICOP1,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
1,PTET.51.1.T1510135,KU80b,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
2,PTET.51.1.T0490019,GTSF1,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
3,PTET.51.1.T0510172,PGML5b,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
4,PTET.51.1.T0270232,MSH4a,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
5,PTET.51.1.T0700039,ICL7a,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
6,PTET.51.1.T1740049,EZL1,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
7,PTET.51.1.T0380073,PGML2,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
8,PTET.51.1.T0240239,PTIWI10,not significant,not significant,significant_down,significant_down,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,significant_up
9,PTET.51.1.T1140146,KU80c,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
10,PTET.51.1.T0480099,PGML4b,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
11,PTET.51.1.T0240213,PS17,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
12,PTET.51.1.T0710112,PTIWI01,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
13,PTET.51.1.T0060034,PTIWI06,not significant,significant_down,not significant,significant_down,not significant,significant_down,not significant,significant_down,not significant,not significant,not significant,not significant
14,PTET.51.1.T0230191,SPO11,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
15,PTET.51.1.T0490162,PGM,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
16,PTET.51.1.T0770102,SPT5m,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
17,PTET.51.1.T0770160,MSH5,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
18,PTET.51.1.T0110267,PGML1,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
19,PTET.51.1.T0070121,DCL5,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
20,PTET.51.1.T0620215,PTIWI11,not significant,not significant,significant_down,significant_down,not significant,not significant,significant_down,not significant,not significant,not significant,significant_up,not significant
21,PTET.51.1.T1110086,XRCC4,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
22,PTET.51.1.T0990073,DCL3,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
23,PTET.51.1.T0180124,ICOP2,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
24,PTET.51.1.T0980137,CTIPb,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
25,PTET.51.1.T0780031,PTCAF1,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
26,PTET.51.1.T0080308,PGML3b,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
27,PTET.51.1.T0660118,PTIWI09,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
28,PTET.51.1.T0540024,LIG4a,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
29,PTET.51.1.T0490206,NOWA2,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
30,PTET.51.1.T0900102,TFIIS4,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
31,PTET.51.1.T0930160,PO2,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
32,PTET.51.1.T0020217,PGML3c,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
33,PTET.51.1.T0860013,DIE5a,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
34,PTET.51.1.T1180043,PO1,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
35,PTET.51.1.T0340197,PGML4a,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
36,PTET.51.1.T1460025,KU80a,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
37,PTET.51.1.T0140243,ISWI1,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
38,PTET.51.1.T0430205,CND1,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
39,PTET.51.1.T0170077,NOWA1,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
40,PTET.51.1.T0360062,DCL1,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
41,PTET.51.1.T0950081,DIE5b,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
42,PTET.51.1.T1710021,MSH4b,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
43,PTET.51.1.T0050374,ND7,not significant,significant_up,significant_up,significant_up,not significant,not significant,significant_up,significant_up,not significant,not significant,not significant,not significant
44,PTET.51.1.T0570051,PGML5a,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
45,PTET.51.1.T0210241,DCL2,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
46,PTET.51.1.T0010374,PGML3a,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
47,PTET.51.1.T1280115,DCL4,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
48,PTET.51.1.T0110289,PDSG2,not significant,significant_down,not significant,not significant,not significant,significant_down,not significant,not significant,not significant,not significant,not significant,not significant
49,PTET.51.1.T0620188,AS17,not significant,not significant,not significant,not significant,not significant,significant_down,significant_down,not significant,not significant,not significant,not significant,not significant
50,PTET.51.1.T0650078,CTIPa,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant,not significant
