,ies_name,AS17_a,AS17_b,AS17_c,AS17_d,AS17_e,AS17_f,CTRL_AS17_a,CTRL_PS17_c,CTRL_PS17_d,PS17_a,PS17_b,PS17_c,PS17_d,IES_length
12196,IESPGM.PTET51.1.62.345420,0.0253,0.0082,0.0976,0.0175,0.0,0.0,0.0,0.0,0.0,0.087,0.0769,0.0435,0.0224,29
25930,IESPGM.PTET51.1.24.407807,0.0,0.0,0.0741,0.2353,0.0,0.0,0.0,0.0,0.0,0.2903,0.1515,0.0268,0.0095,29
25931,IESPGM.PTET51.1.24.408279,0.0,0.0,0.0147,0.1452,0.0,0.0083,0.0,0.0,0.0,0.1136,0.0577,0.0645,0.0066,29
