ies_name	ies_ret	ies+	ies-
IESPGM.PTET51.1.183.784	0.7273	24	9
IESPGM.PTET51.1.183.12247	0.4355	27	35
IESPGM.PTET51.1.183.12334	0.5400	27	23
IESPGM.PTET51.1.183.12607	0.3934	24	37
IESPGM.PTET51.1.183.13485	0.4694	23	26
IESPGM.PTET51.1.183.15946	0.6842	26	12
IESPGM.PTET51.1.183.18747	0.3793	22	36
IESPGM.PTET51.1.183.20168	0.4800	12	13
IESPGM.PTET51.1.183.25140	0.5714	24	18
IESPGM.PTET51.1.183.25252	0.6875	22	10
IESPGM.PTET51.1.183.26972	0.6667	28	14
IESPGM.PTET51.1.183.27167	0.2449	12	37
IESPGM.PTET51.1.183.28080	0.4082	20	29
IESPGM.PTET51.1.183.30074	0.2000	3	12
IESPGM.PTET51.1.183.30287	0.3793	11	18
IESPGM.PTET51.1.183.31654	0.2593	7	20
IESPGM.PTET51.1.183.31684	0.3611	13	23
IESPGM.PTET51.1.183.31899	0.2857	6	15
IESPGM.PTET51.1.183.32069	0.2250	9	31
IESPGM.PTET51.1.183.32588	0.2683	11	30
IESPGM.PTET51.1.183.33737	0.4595	17	20
IESPGM.PTET51.1.183.35306	0.1905	8	34
IESPGM.PTET51.1.183.36564	0.3750	15	25
IESPGM.PTET51.1.183.36899	0.1852	10	44
IESPGM.PTET51.1.183.38449	0.4043	19	28
IESPGM.PTET51.1.183.39452	0.4468	21	26
IESPGM.PTET51.1.183.41231	0.3000	9	21
IESPGM.PTET51.1.183.45146	0.2400	12	38
IESPGM.PTET51.1.183.47720	0.1897	11	47
IESPGM.PTET51.1.183.48074	0.0877	5	52
IESPGM.PTET51.1.183.51393	0.2258	7	24
IESPGM.PTET51.1.183.51435	0.5952	25	17
IESPGM.PTET51.1.183.51816	0.3000	9	21
IESPGM.PTET51.1.183.52015	0.2647	9	25
IESPGM.PTET51.1.183.52379	0.4000	20	30
IESPGM.PTET51.1.183.52756	0.1600	4	21
IESPGM.PTET51.1.183.53226	0.3214	9	19
IESPGM.PTET51.1.183.53257	0.3571	10	18
IESPGM.PTET51.1.183.53654	0.3846	15	24
IESPGM.PTET51.1.183.54085	0.4286	12	16
IESPGM.PTET51.1.183.54100	0.4091	9	13
IESPGM.PTET51.1.183.54856	0.4516	14	17
IESPGM.PTET51.1.183.55136	0.2121	7	26
IESPGM.PTET51.1.183.55156	0.2069	6	23
IESPGM.PTET51.1.183.55659	0.0154	1	64
IESPGM.PTET51.1.183.56662	0.3611	13	23
IESPGM.PTET51.1.183.57115	0.4872	19	20
IESPGM.PTET51.1.183.57415	0.3750	9	15
IESPGM.PTET51.1.183.57926	0.5385	35	30
IESPGM.PTET51.1.183.58864	0.2500	7	21
IESPGM.PTET51.1.183.59419	0.4717	25	28
IESPGM.PTET51.1.183.59518	0.3036	17	39
IESPGM.PTET51.1.183.60226	0.1538	4	22
IESPGM.PTET51.1.183.61117	0.3514	13	24
IESPGM.PTET51.1.183.61247	0.4348	10	13
IESPGM.PTET51.1.183.62258	0.5806	18	13
IESPGM.PTET51.1.183.62353	0.7931	23	6
IESPGM.PTET51.1.183.62748	0.2326	10	33
IESPGM.PTET51.1.183.63065	0.6667	18	9
IESPGM.PTET51.1.183.63668	0.5625	9	7
IESPGM.PTET51.1.183.63893	0.6400	16	9
IESPGM.PTET51.1.183.63994	0.3830	18	29
IESPGM.PTET51.1.183.64529	0.5333	24	21
IESPGM.PTET51.1.183.64953	0.8085	38	9
IESPGM.PTET51.1.183.66652	0.1579	9	48
IESPGM.PTET51.1.183.66672	0.1864	11	48
IESPGM.PTET51.1.183.66949	0.2419	15	47
IESPGM.PTET51.1.183.67792	0.0000	0	25
IESPGM.PTET51.1.183.68194	0.4500	18	22
IESPGM.PTET51.1.183.69127	0.4600	23	27
IESPGM.PTET51.1.183.69444	0.5185	28	26
IESPGM.PTET51.1.183.69973	0.4348	10	13
IESPGM.PTET51.1.183.70475	0.6140	35	22
IESPGM.PTET51.1.183.70862	0.5526	21	17
IESPGM.PTET51.1.183.74961	0.3462	9	17
IESPGM.PTET51.1.183.76054	0.4643	13	15
IESPGM.PTET51.1.183.76096	0.7576	25	8
IESPGM.PTET51.1.183.76477	0.1702	8	39
IESPGM.PTET51.1.183.76675	0.2121	7	26
IESPGM.PTET51.1.183.77039	0.3333	15	30
IESPGM.PTET51.1.183.77412	0.2941	10	24
IESPGM.PTET51.1.183.77882	0.3611	13	23
IESPGM.PTET51.1.183.77913	0.4000	18	27
IESPGM.PTET51.1.183.78310	0.2857	12	30
IESPGM.PTET51.1.183.78741	0.2857	8	20
IESPGM.PTET51.1.183.78756	0.4634	19	22
IESPGM.PTET51.1.183.79605	0.2250	9	31
IESPGM.PTET51.1.183.79894	0.2571	9	26
IESPGM.PTET51.1.183.79914	0.3111	14	31
IESPGM.PTET51.1.183.80414	0.1458	7	41
IESPGM.PTET51.1.183.80505	0.1379	4	25
IESPGM.PTET51.1.101.440	0.7083	51	21
IESPGM.PTET51.1.101.10783	0.1591	7	37
IESPGM.PTET51.1.101.14291	0.3684	21	36
IESPGM.PTET51.1.101.16763	0.7143	25	10
IESPGM.PTET51.1.101.17694	0.3387	21	41
IESPGM.PTET51.1.101.20888	0.4091	18	26
IESPGM.PTET51.1.101.27153	0.2576	17	49
IESPGM.PTET51.1.101.32223	0.3500	21	39
IESPGM.PTET51.1.101.39840	0.1000	2	18
IESPGM.PTET51.1.101.39860	0.2647	9	25
IESPGM.PTET51.1.101.41863	0.2973	22	52
IESPGM.PTET51.1.101.44984	0.4524	38	46
IESPGM.PTET51.1.101.46667	0.1250	4	28
IESPGM.PTET51.1.101.51333	0.1167	7	53
IESPGM.PTET51.1.101.53271	0.3803	27	44
IESPGM.PTET51.1.101.57569	0.3902	16	25
IESPGM.PTET51.1.101.58222	0.1364	6	38
IESPGM.PTET51.1.101.60413	0.4583	22	26
IESPGM.PTET51.1.101.61478	0.8571	18	3
IESPGM.PTET51.1.101.62583	0.4118	14	20
IESPGM.PTET51.1.101.62870	0.2759	8	21
IESPGM.PTET51.1.101.63620	0.7273	16	6
IESPGM.PTET51.1.101.64088	0.0984	6	55
IESPGM.PTET51.1.101.68933	0.2115	11	41
IESPGM.PTET51.1.101.70274	0.2407	13	41
IESPGM.PTET51.1.101.72966	0.0755	4	49
IESPGM.PTET51.1.101.74123	0.4722	17	19
IESPGM.PTET51.1.101.76968	0.2979	28	66
IESPGM.PTET51.1.101.80608	0.3000	15	35
IESPGM.PTET51.1.101.82063	0.2444	11	34
IESPGM.PTET51.1.101.84812	0.3529	18	33
IESPGM.PTET51.1.101.85360	0.3077	8	18
IESPGM.PTET51.1.101.98453	0.4333	13	17
IESPGM.PTET51.1.101.99021	0.5385	7	6
IESPGM.PTET51.1.101.99755	0.5897	23	16
IESPGM.PTET51.1.101.102528	0.5082	31	30
IESPGM.PTET51.1.101.104588	0.3279	20	41
IESPGM.PTET51.1.101.105686	0.2632	15	42
IESPGM.PTET51.1.101.107194	0.2794	19	49
IESPGM.PTET51.1.101.108116	0.3333	17	34
IESPGM.PTET51.1.101.108837	0.3333	10	20
IESPGM.PTET51.1.101.111129	0.5172	15	14
IESPGM.PTET51.1.101.111689	0.4324	16	21
IESPGM.PTET51.1.101.112853	0.4058	28	41
IESPGM.PTET51.1.101.113273	0.6341	26	15
IESPGM.PTET51.1.101.114019	0.2571	9	26
IESPGM.PTET51.1.101.115220	0.5250	42	38
IESPGM.PTET51.1.101.115874	0.0500	2	38
IESPGM.PTET51.1.101.118186	0.4872	19	20
IESPGM.PTET51.1.101.119618	0.4091	9	13
IESPGM.PTET51.1.101.121504	0.3023	13	30
IESPGM.PTET51.1.101.124071	0.5862	34	24
IESPGM.PTET51.1.101.132663	0.6364	21	12
IESPGM.PTET51.1.101.132705	0.5641	22	17
IESPGM.PTET51.1.101.134411	0.4643	13	15
IESPGM.PTET51.1.101.136685	0.4783	11	12
IESPGM.PTET51.1.101.140786	0.4091	18	26
IESPGM.PTET51.1.101.141400	0.4516	14	17
IESPGM.PTET51.1.101.141905	0.3704	10	17
IESPGM.PTET51.1.101.144078	0.0833	1	11
IESPGM.PTET51.1.101.148919	0.3846	25	40
IESPGM.PTET51.1.101.149403	0.2203	13	46
IESPGM.PTET51.1.101.150662	0.3519	19	35
IESPGM.PTET51.1.101.151549	0.1897	22	94
IESPGM.PTET51.1.101.153173	0.3333	40	80
IESPGM.PTET51.1.101.155531	0.4946	46	47
IESPGM.PTET51.1.101.155692	0.4681	22	25
IESPGM.PTET51.1.101.156448	0.8125	39	9
IESPGM.PTET51.1.101.157167	0.4688	30	34
IESPGM.PTET51.1.101.158848	0.4677	29	33
IESPGM.PTET51.1.101.159388	0.4237	25	34
IESPGM.PTET51.1.101.160490	0.2429	17	53
IESPGM.PTET51.1.101.161251	0.2407	13	41
IESPGM.PTET51.1.101.161840	0.2500	4	12
IESPGM.PTET51.1.101.161943	0.2564	10	29
IESPGM.PTET51.1.101.163407	0.1618	11	57
IESPGM.PTET51.1.101.165732	0.6000	6	4
IESPGM.PTET51.1.101.166861	0.2979	14	33
IESPGM.PTET51.1.101.172371	0.1923	5	21
IESPGM.PTET51.1.101.174702	0.2632	5	14
IESPGM.PTET51.1.101.176282	0.1462	19	111
IESPGM.PTET51.1.101.177504	0.2619	11	31
IESPGM.PTET51.1.101.180526	0.4444	32	40
IESPGM.PTET51.1.101.181273	0.6250	45	27
IESPGM.PTET51.1.101.181669	0.1930	11	46
IESPGM.PTET51.1.101.182242	0.4762	10	11
IESPGM.PTET51.1.101.183653	0.5000	25	25
IESPGM.PTET51.1.101.186502	0.5217	48	44
IESPGM.PTET51.1.101.187824	0.6129	19	12
IESPGM.PTET51.1.101.189108	0.6452	20	11
IESPGM.PTET51.1.101.189441	0.4423	23	29
IESPGM.PTET51.1.101.190476	0.2500	22	66
IESPGM.PTET51.1.101.191196	0.3438	11	21
IESPGM.PTET51.1.101.192766	0.5588	19	15
IESPGM.PTET51.1.101.193424	0.3913	18	28
IESPGM.PTET51.1.101.193448	0.3913	18	28
IESPGM.PTET51.1.101.194097	0.4762	20	22
IESPGM.PTET51.1.101.194351	0.6296	17	10
IESPGM.PTET51.1.101.196132	0.2439	10	31
IESPGM.PTET51.1.101.197013	0.2857	20	50
IESPGM.PTET51.1.101.197046	0.1549	11	60
IESPGM.PTET51.1.101.197573	0.1892	7	30
IESPGM.PTET51.1.101.197874	0.2500	15	45
IESPGM.PTET51.1.101.198498	0.4342	33	43
IESPGM.PTET51.1.101.201297	0.2647	9	25
IESPGM.PTET51.1.101.201528	0.3902	32	50
IESPGM.PTET51.1.101.204658	0.6923	18	8
IESPGM.PTET51.1.101.204739	0.1818	6	27
IESPGM.PTET51.1.101.205668	0.2424	8	25
IESPGM.PTET51.1.101.206070	0.4706	16	18
IESPGM.PTET51.1.101.206650	0.5385	7	6
IESPGM.PTET51.1.101.207400	0.4359	17	22
IESPGM.PTET51.1.101.208813	0.2593	7	20
IESPGM.PTET51.1.101.209853	0.3818	21	34
IESPGM.PTET51.1.101.210178	0.1250	8	56
IESPGM.PTET51.1.101.210997	0.5135	19	18
IESPGM.PTET51.1.101.215595	0.1944	7	29
IESPGM.PTET51.1.101.216064	0.2698	17	46
IESPGM.PTET51.1.101.216170	0.2206	15	53
IESPGM.PTET51.1.101.216344	0.1852	20	88
IESPGM.PTET51.1.101.216916	0.3200	8	17
IESPGM.PTET51.1.101.217084	0.3382	23	45
IESPGM.PTET51.1.101.218499	0.3182	21	45
IESPGM.PTET51.1.101.218828	0.4444	12	15
IESPGM.PTET51.1.101.219456	0.2273	15	51
IESPGM.PTET51.1.101.219549	0.1228	7	50
IESPGM.PTET51.1.101.221146	0.5000	30	30
IESPGM.PTET51.1.101.221947	0.2115	11	41
IESPGM.PTET51.1.101.222833	0.2162	8	29
IESPGM.PTET51.1.101.223282	0.1731	9	43
IESPGM.PTET51.1.101.225682	0.5227	23	21
IESPGM.PTET51.1.101.225890	0.2653	13	36
IESPGM.PTET51.1.101.226588	0.6667	36	18
IESPGM.PTET51.1.101.227820	0.3448	20	38
IESPGM.PTET51.1.101.228503	0.4423	23	29
IESPGM.PTET51.1.101.231433	0.3860	22	35
IESPGM.PTET51.1.101.232042	0.3667	11	19
IESPGM.PTET51.1.101.232706	0.2920	33	80
IESPGM.PTET51.1.101.234695	0.4394	29	37
IESPGM.PTET51.1.101.236578	0.2963	16	38
IESPGM.PTET51.1.101.237246	0.2727	15	40
IESPGM.PTET51.1.101.237753	0.6571	23	12
IESPGM.PTET51.1.101.239144	0.0000	0	48
IESPGM.PTET51.1.101.239265	0.4133	31	44
IESPGM.PTET51.1.101.242239	0.4167	20	28
IESPGM.PTET51.1.101.243000	0.2429	17	53
IESPGM.PTET51.1.101.244954	0.3462	18	34
IESPGM.PTET51.1.101.247206	0.8108	30	7
IESPGM.PTET51.1.101.248483	0.2826	13	33
IESPGM.PTET51.1.101.249914	0.3827	31	50
IESPGM.PTET51.1.101.250284	0.3393	19	37
IESPGM.PTET51.1.101.250928	0.2609	6	17
IESPGM.PTET51.1.101.251464	0.4659	41	47
IESPGM.PTET51.1.101.254122	0.6667	30	15
IESPGM.PTET51.1.101.254221	0.6170	29	18
IESPGM.PTET51.1.101.254607	0.8000	36	9
IESPGM.PTET51.1.101.254802	0.8108	30	7
IESPGM.PTET51.1.101.258834	0.6471	11	6
IESPGM.PTET51.1.101.264077	0.2949	23	55
IESPGM.PTET51.1.101.271104	0.2778	10	26
IESPGM.PTET51.1.101.275868	0.4696	54	61
IESPGM.PTET51.1.101.276524	0.4348	10	13
IESPGM.PTET51.1.101.276534	0.5000	13	13
IESPGM.PTET51.1.101.276573	0.7949	31	8
IESPGM.PTET51.1.101.277099	0.3506	27	50
IESPGM.PTET51.1.101.279756	0.6341	26	15
IESPGM.PTET51.1.101.280526	0.6154	48	30
IESPGM.PTET51.1.101.280673	0.6310	53	31
IESPGM.PTET51.1.101.281000	0.8571	48	8
IESPGM.PTET51.1.101.282365	0.5918	29	20
IESPGM.PTET51.1.101.282518	0.6349	40	23
IESPGM.PTET51.1.101.283447	0.6944	25	11
IESPGM.PTET51.1.101.283911	0.6415	34	19
